datum,spieltag,heimteam,gastteam,tore_heim,tore_gast
02.08.2024,1,1. FC Köln,Hamburger SV,1,2
03.08.2024,1,Hertha BSC,SC Paderborn 07,1,2
03.08.2024,1,Karlsruher SC,1. FC Nürnberg,3,2
03.08.2024,1,Hannover 96,SSV Jahn Regensburg,2,0
03.08.2024,1,1. FC Magdeburg,SV Elversberg,0,0
03.08.2024,1,FC Schalke 04,Eintracht Braunschweig,5,1
04.08.2024,1,SV Darmstadt 98,Fortuna Düsseldorf,0,2
04.08.2024,1,SSV Ulm 1846,1. FC Kaiserslautern,1,2
04.08.2024,1,SpVgg Greuther Fürth,Preußen Münster,3,1
09.08.2024,2,1. FC Kaiserslautern,SpVgg Greuther Fürth,2,2
09.08.2024,2,SSV Jahn Regensburg,SSV Ulm 1846,1,0
10.08.2024,2,1. FC Nürnberg,FC Schalke 04,3,1
10.08.2024,2,Fortuna Düsseldorf,Karlsruher SC,0,0
10.08.2024,2,SV Elversberg,1. FC Köln,2,2
10.08.2024,2,Hamburger SV,Hertha BSC,1,1
11.08.2024,2,Eintracht Braunschweig,1. FC Magdeburg,1,3
11.08.2024,2,Preußen Münster,Hannover 96,0,0
11.08.2024,2,SC Paderborn 07,SV Darmstadt 98,3,1
23.08.2024,3,Karlsruher SC,SV Elversberg,3,2
23.08.2024,3,Hannover 96,Hamburger SV,1,0
24.08.2024,3,Hertha BSC,SSV Jahn Regensburg,2,0
24.08.2024,3,Preußen Münster,1. FC Kaiserslautern,0,1
24.08.2024,3,SpVgg Greuther Fürth,SC Paderborn 07,1,1
24.08.2024,3,1. FC Köln,Eintracht Braunschweig,5,0
25.08.2024,3,SV Darmstadt 98,1. FC Nürnberg,1,1
25.08.2024,3,SSV Ulm 1846,Fortuna Düsseldorf,1,2
25.08.2024,3,1. FC Magdeburg,FC Schalke 04,2,2
30.08.2024,4,Fortuna Düsseldorf,Hannover 96,1,0
30.08.2024,4,SSV Jahn Regensburg,SpVgg Greuther Fürth,0,4
31.08.2024,4,Hamburger SV,Preußen Münster,4,1
31.08.2024,4,1. FC Nürnberg,1. FC Magdeburg,0,4
31.08.2024,4,SV Elversberg,SV Darmstadt 98,4,0
31.08.2024,4,1. FC Kaiserslautern,Hertha BSC,3,4
01.09.2024,4,FC Schalke 04,1. FC Köln,1,3
01.09.2024,4,Eintracht Braunschweig,Karlsruher SC,1,2
01.09.2024,4,SC Paderborn 07,SSV Ulm 1846,0,0
13.09.2024,5,Karlsruher SC,FC Schalke 04,2,0
13.09.2024,5,Preußen Münster,SC Paderborn 07,3,3
14.09.2024,5,Hannover 96,1. FC Kaiserslautern,3,1
14.09.2024,5,SV Darmstadt 98,Eintracht Braunschweig,1,1
14.09.2024,5,SSV Ulm 1846,1. FC Nürnberg,1,2
14.09.2024,5,1. FC Köln,1. FC Magdeburg,1,2
15.09.2024,5,Hamburger SV,SSV Jahn Regensburg,5,0
