platz,team,spiele,siege,unentschieden,niederlagen,tore_erzielt,tore_erhalten,tordiff,punkte
1,1. FC Heidenheim 1846,34,19,10,5,67,36,31,67
2,SV Darmstadt 98,34,20,7,7,50,33,17,67
3,Hamburger SV,34,20,6,8,70,45,25,66
4,Fortuna Düsseldorf,34,17,7,10,60,43,17,58
5,FC St. Pauli,34,16,10,8,55,39,16,58
6,SC Paderborn 07,34,16,7,11,68,44,24,55
7,Karlsruher SC,34,13,7,14,56,53,3,46
8,Holstein Kiel,34,12,10,12,58,61,-3,46
9,1. FC Kaiserslautern,34,11,12,11,47,48,-1,45
10,Hannover 96,34,12,8,14,50,55,-5,44
11,1. FC Magdeburg,34,12,7,15,48,55,-7,43
12,SpVgg Greuther Fürth,34,10,11,13,47,50,-3,41
13,F.C. Hansa Rostock,34,12,5,17,32,48,-16,41
14,1. FC Nürnberg,34,10,9,15,32,49,-17,39
15,Eintracht Braunschweig,34,9,9,16,42,59,-17,36
16,DSC Arminia Bielefeld,34,9,7,18,50,62,-12,34
17,SSV Jahn Regensburg,34,8,7,19,34,58,-24,31
18,SV Sandhausen,34,7,7,20,35,63,-28,28
